Ordinal,Codigo,CIG_SI_NO_*_2,votos_CIG,votos_No_CIG,Titulo,Resumen,Title,Abstract,,,,,
55,#C10,0,0,3,"Mapas de vegetación, necesidades de mapeo y alcance del procesamiento digital de datos del Mapper temático Landsat en la región tropical del suroeste de la India","Este estudio tuvo como objetivo evaluar el alcance de los datos del Landsat Thematic Mapper (TM) para la clasificación de la vegetación y las necesidades de mapeo en una región tropical del suroeste de la India. Los resultados generados a través de técnicas comunes de mejora / clasificación digital se compararon con el mapa de vegetación preparado a partir de la interpretación visual de fotografías aéreas pancromáticas en blanco y negro con una escala de 1: 15000 (aproximadamente), en términos de información temática extraíble y costo / tiempo incurrido. Se ha demostrado que el procesamiento digital de datos TM es capaz de satisfacer las necesidades de clasificación y mapeo en el país con un grado razonable de precisión (85 por ciento), en mucho menos costo y tiempo en comparación con las fotografías aéreas. Se descubrió que la clasificación supervisada utilizando datos en bruto es más efectiva para discriminar los tipos de vegetación que las mejoras en la relación de bandas de tike y el análisis de componentes principales. Fue posible clasificar la vegetación forestal con respecto a la variabilidad en los atributos bioclimáticos y estructurales mediante la clasificación de datos digitales. En vista de la variada clasificación de la vegetación y las necesidades de mapeo en la India, se sugiere que inicialmente se intente una clasificación de la cobertura del suelo lo más detallada posible. Posteriormente, la salida de clasificación detallada, que a menudo es difícil de leer o comprender, puede convertirse en salidas simplificadas específicas del usuario mediante la agregación adecuada de clases.","Vegetation maps, mapping needs and scope of digital processing of Landsat Thematic Mapper data in tropical region of south-west India","This study was aimed at assessing the scope of Landsat Thematic Mapper (TM) data for vegetation classification and mapping needs in a tropical region of south-west India. Outputs generated through common digital enhancement/classification techniques were compared with the vegetation map prepared from visual interpretation of black and white panchromatic aerial photographs with a scale of 1:15000 (approximately), in terms of extractable thematic information and cost/time incurred. It has been shown that digital processing of TM data is capable of satisfying the classification and mapping needs in the country with a reasonable degree of precision (85 per cent), in much less cost and time when compared with the aerial photographs. Supervised classification using raw data was found to be more effective in discriminating vegetation types than enhancements tike band ratioing and principal component analysis. It was possible to classify forest vegetation with respect to variability in bioclimatic and structural attributes by classification of digital data. In view of varied vegetation classification and mapping needs in India, it is suggested that as detailed a land cover classification as possible should be attempted initially. Subsequently, the detailed classification output, which is often difficult to read or understand, may be converted to user-specific simplified outputs by appropriate aggregation of classes.",,,,,
56,#C11,2,2,1,Comparación de los coeficientes de atenuación espectral espectral medidos y derivados del satélite para el Mar Arábigo,"Presentamos aquí los resultados de nuestro estudio que compara los coeficientes de atenuación espectral difusa Kd (ÃŽ Â») medidos en el Mar Arábigo con los derivados del Sensor de campo de visión amplio de observación del mar (SeaWiFS) utilizando tres algoritmos, de los cuales dos son basado en datos empíricos y uno es semi-analítico. Las mediciones se realizaron en todos los tipos de agua y los valores medios del Kd espectral medido (ÃŽ Â») son 0.105, 0.092, 0.077, 0.082, 0.110 y 0.490 m-1 para la longitud de onda ÃŽÂ» a 412, 443, 490, 510, 555 y 670 nm, respectivamente. Este perfil corresponde a un valor de clorofila de aproximadamente 1 mg m-3. Los valores máximos del Kd medido corresponden a aguas con clorofila de aproximadamente 8 mg m-3. Aunque se encuentra que el Kd derivado de satélite (ÃŽ Â») está sobreestimado en todas las bandas, hemos observado buenas correlaciones entre los valores medidos y derivados de satélite en todas las bandas, y excluyendo la banda a 670 nm, las desviaciones medias porcentuales absolutas son observado que sea inferior al 50% en todas las bandas. Se encontró que el rendimiento de los métodos empíricos basados â€‹â€‹en datos es consistente en todas las bandas, excepto en la banda roja de 670 nm, que no está correlacionada con los valores medidos y tiene grandes errores. El rendimiento de los métodos empíricos depende de la precisión de las relaciones de banda de la reflectancia de detección remota recuperada. Aunque se encuentra que el rendimiento del algoritmo semianalítico varía espectralmente, con un gran sesgo positivo observado en las regiones azules, este algoritmo se recomienda para aplicaciones hiperespectrales. El rendimiento del algoritmo semianalítico podría mejorarse al tener un algoritmo robusto para derivar con precisión las propiedades ópticas inherentes espectrales de los coeficientes de absorción y retrodispersión a partir de los datos del satélite.",Comparison of measured and satellite-derived spectral diffuse attenuation coefficients for the Arabian Sea,"We present here the results of our study comparing the spectral diffuse attenuation coefficients Kd(Î») measured in the Arabian Sea with those derived from the Sea-Viewing Wide Field-of-View Sensor (SeaWiFS) using three algorithms, of which two are empirical-data-driven and one is semi-analytical. The measurements were carried out in all water types and the mean values of the measured spectral Kd(Î») are 0.105, 0.092, 0.077, 0.082, 0.110 and 0.490 m-1 for wavelength Î» at 412, 443, 490, 510, 555 and 670 nm, respectively. This profile corresponds to a chlorophyll value of about 1 mg m-3. The maximum values of the measured Kd correspond to waters with chlorophyll of about 8 mg m-3. Though the satellite-derived Kd(Î») are found to be overestimated in all bands, we have observed good correlations between the measured and satellite-derived values in all bands, and excluding the band at 670 nm, the mean absolute percent deviations are observed to be less than 50% in all bands. The performance of the data-driven empirical methods was found to be consistent in all the bands, except at the red band of 670 nm, which is uncorrelated with the measured values and has large errors. The performances of the empirical methods depend on the accuracy of the band ratios of the retrieved remote sensing reflectance. Though the performance of the semi-analytical algorithm is found to be spectrally varying, with large positive bias observed in the blue regions, this algorithm is recommended for hyperspectral applications. The performance of the semi-analytical algorithm could be improved by having a robust algorithm to accurately derive spectral inherent optical properties of absorption and backscattering coefficients from the satellite data.",,,,,
57,#C12,2,3,0,Forzado radiactivo directo de onda corta de aerosoles de polvo del Sahara sobre el Océano Atlántico,"Utilizando el escáner visible e infrarrojo (VIRS) y las nubes y los datos del escáner de presupuesto de energía radiante de la Tierra (CERES) a bordo del satélite de la Misión de Medición de Lluvias Tropicales (TRMM), el forzado instantáneo de radiación de aerosol de onda corta (SWARF) y el SWARF de promedio diurno diurno en el la parte superior de la atmósfera (TOA) se estima para el polvo del Sahara sobre el Océano Atlántico (10 Â° N-25 Â° N, 30 Â° W-15 Â° W) para julio de 1998. Una combinación de umbrales de reflectancia, junto con técnicas de coherencia espacial infrarroja , se utilizan para separar los aerosoles de polvo de las nubes. Usando los cálculos de Mic y Transferencia Radiativa Ordenada Discreta (DISORT) y la reflectancia del canal 1 de VIRS, se recupera el espesor óptico del polvo (Á â€ž). El SWARF directo instantáneo promedio de aerosoles de polvo por unidad Á â€žes -50 W m-2. La SWARF diurnamente promediada durante el día de aerosoles de polvo es 15.2 Â± 10.9 W m-2 para una media mean â€žde 0.79 Â± 0.39. Este estudio demuestra que el uso sinérgico de instrumentos de diferentes partes del espectro electromagnético se puede utilizar para estudiar los efectos radiativos de los aerosoles de polvo. Este estudio también se encuentra entre los primeros en estimar la SWARF diurna de aerosoles de polvo utilizando datos de sensores satelitales.",Shortwave direct radiative forcing of Saharan dust aerosols over the Atlantic Ocean,"Using collocated Visible and Infrared Scanner (VIRS) and Clouds and the Earth##s Radiant Energy Budget Scanner (CERES) data on board the Tropical Rainfall Measuring Mission (TRMM) satellite, the instantaneous Shortwave Aerosol Radiative Forcing (SWARF) and daytime diurnally averaged SWARF at the top-of-atmosphere (TOA) are estimated for Saharan dust over the Atlantic Ocean (10Â° N-25Â° N, 30Â° W-15Â° W) for July 1998. A combination of reflectance thresholds, along with infrared spatial coherence techniques, are used to separate dust aerosols from clouds. Using Mic and Discrete Ordinate Radiative Transfer (DISORT) calculations and the VIRS channel 1 reflectance, dust optical thickness (Ï„) is retrieved. The average instantaneous direct SWARF of dust aerosols per unit Ï„ is -50 W m-2. The daytime diurnally averaged SWARF of dust aerosols is 15.2Â±10.9 W m-2 for a mean Ï„ of 0.79Â±0.39. This study demonstrates that the synergistic use of instruments from different parts of the electromagnetic spectrum can be used to study the radiative effects of dust aerosols. This study is also among the first to estimate the diurnal SWARF of dust aerosols using satellite sensor data.",,,,,
58,#C13,0,0,3,SANA: navegación automática subpíxel de imágenes AVHRR,"Se propone un método automático (SANA) para la navegación por subpíxeles de imágenes de radiómetro avanzado de muy alta resolución (AVHRR). Corrige progresivamente la actitud del satélite y reduce los errores de navegación en toda la escena mediante el uso de un enfoque iterativo. Las pruebas realizadas en más de 400 pases AVHRR sobre Europa demuestran la capacidad del método mencionado anteriormente para obtener, sin intervención humana, una precisión de navegación final dentro de 1 píxel. Las características principales de tal método son su velocidad de procesamiento, así como su total exportabilidad a otros paquetes de satélite.",SANA: Sub-pixel automatic navigation of AVHRR imagery,"An automatic method (SANA) for sub-pixel navigation of Advanced Very High Resolution Radiometer (AVHRR) imagery is proposed. It progressively corrects satellite attitude and reduces navigation errors all over the scene by using an iterative approach. Tests performed on more than 400 AVHRR passes over Europe, demonstrate the above mentioned method capability to obtain, with no human intervention, a final navigation accuracy within 1 pixel. Main characteristics of such a method are its processing speed as well as its full exportability to other satellite packages.",,,,,
59,#C14,2,2,1,Evaluación del conjunto de datos terrestres AVHRR de NOAA / NASA pathfinder para el modelado global de producción primaria,"El nuevo NOAA / NASA Pathfinder Advanced Very High Resolution Radiometer (AVHRR) Land Data Set se ha utilizado para impulsar el modelo de producción primaria GLObal Production Efficiency (GLO-PEM) para vegetación a una resolución espacial de 8 x 8 km para toda la cubierta terrestre de la tierra. La principal ventaja de los datos de Pathfinder fue la organización de un vasto archivo de datos de cobertura de área global (GAC) AVHRR en un conjunto de datos coherente en el que se han aplicado las calibraciones de sensores posteriores al vuelo y las correcciones atmosféricas. Las principales dificultades surgieron de la composición de canales térmicos en compuestos de 10 días utilizando un criterio de Índice de Vegetación de Diferencia Normalizada (NDVI) máximo, el fracaso del procedimiento de detección de nubes, la ausencia de datos costeros y algunos aspectos del formato de datos. En general, el conjunto de datos representa un avance significativo sobre el Índice de Vegetación Global (GVI) de NOAA, que ha sido durante mucho tiempo el único conjunto de datos global completo disponible públicamente.",Evaluation of the NOAA/NASA pathfinder AVHRR land data set for global primary production modelling,"The new NOAA/NASA Pathfinder Advanced Very High Resolution Radiometer (AVHRR) Land Data Set has been used to drive the GLObal Production Efficiency (GLO-PEM) primary production model for vegetation at a spatial resolution of 8 x 8 km for the entire land cover of the Earth. The principal advantage of the Pathfinder data was the organization of a vast archive of AVHRR global area coverage (GAC) data into a consistent data set in which post-flight sensor calibrations and atmospheric corrections have been applied. The principal difficulties arose from the compositing of thermal channels into 10-day composites using a maximum Normalized Difference Vegetation Index (NDVI) criterion, the failure of the cloud screening procedure, the absence of coastal data, and some aspects of the data format. Overall the data set represents a significiant advance over the NOAA Global Vegetation Index (GVI), which has long been the only publicly available, complete global data set.",,,,,
60,#C15,0,1,2,Un estudio comparativo de mediciones casi simultáneas DMSP-SSM / I y altímetro Geosat de vientos superficiales sobre la región oceánica india,"En este documento, se analizan las mediciones ubicadas, casi simultáneas, de la velocidad del viento en la superficie del océano cerca del subcontinente indio desde el Microondas / Sensor de imágenes especiales (SSM / I) y el Altímetro de radar a bordo, respectivamente, los satélites DMSP y Geosat. Se encuentra que para aproximadamente el 84 por ciento de los casos, la diferencia de dos vientos está dentro de los 3 m s-1. Sin embargo, cuando los vientos colocados se promedian durante todo el período y sobre las cajas de la cuadrícula de 2.5 Â° Ã— 2.5 Â°, la correlación entre los dos vientos parece ser muy alta. Se encuentra que la diferencia absoluta de los dos vientos no tiene una relación aparente con la cantidad de vapor de agua y la cantidad de agua líquida en la nube presente en la atmósfera. Además, las variaciones de la diferencia absoluta de dos vientos con vientos SSM / I, vientos altimétricos y una altura de ola significativa han indicado que las mediciones de altímetro de alta velocidad del viento probablemente sean más inexactas en comparación con las mediciones SSM / I. La variación del sesgo y la desviación estándar de la diferencia de los dos vientos medidos en cada contenedor de 1 m s-1 del viento del altímetro indicaron que el viento SSM / I y el viento del altímetro están en buen acuerdo dentro de los 12 m s-1 del altímetro viento, y por lo tanto en este rango cualquiera puede ser usado en ausencia de otro.",A comparative study of near concurrent DMSP-SSM/I and Geosat-altimeter measurements of surface winds over the Indian oceanic region,"In this paper, colocated, near simultaneous measurements of ocean surface wind speed near the Indian subcontinent from the Special Sensor Microwave/Imager (SSM/I) and Radar Altimeter onboard, respectively, DMSP and Geosat satellites are analysed. It is found that for about 84 per cent of cases, difference of two winds is within 3 m s-1. However, when the colocated winds are averaged for entire period and over the grid boxes of 2.5Â°Ã—2.5Â°, the correlation between the two winds appears to be very high. It is found that the absolute difference of the two winds has no apparent relation with the amount of water vapour and the amount of cloud liquid water present in the atmosphere. Further, the variations of absolute difference of two winds with SSM/I winds, altimeter winds and significant wave height have indicated that altimeter measurements of high wind speed are likely to be more inaccurate compared to SSM/I measurements. The variation of bias and standard deviation of the difference of the two winds as measured in each 1 m s-1 bin of altimeter wind indicated that the SSM/I wind and the Altimeter wind are in good agreement within 12 m s-1 of altimeter wind, and thus in this range any one can be used in the absence of another.",,,,,
61,#C16,0,0,3,"Indicadores de clima mineral en áreas emergidas y paleoflooded alrededor de los pantanos de los lagos (Tablas de Daimiel, España) utilizando datos del espectrómetro DAIS 7915 hiperespectral","Las imágenes hiperespectrales han sido capaces de distinguir áreas paleoflooded relacionadas con un humedal en retroceso debido al contenido mineralógico diferencial asociado con la humedad variable en el pasado, y los procesos palustrinos y fluviales, a través de mapas realizados mediante el procesamiento de imágenes hiperespectrales. El yeso, el carbonato y la materia orgánica son indicadores paleoclimáticos espectralmente grabados por las imágenes en el infrarrojo visible y cercano. Los suelos salinos con yeso, tanto en áreas inundadas ocasionalmente adyacentes a bandas de ríos poco profundos como en marismas alrededor de piscinas de agua estancada, se han mapeado utilizando datos DAIS. Originalmente, también se muestran áreas más profundas, ricas en materia orgánica donde las marismas se desarrollan en momentos de bajo movimiento de agua. Los sedimentos expuestos permanentemente a la atmósfera se deshidratan y oxidan, desarrollando diferentes asociaciones mineralógicas. El aumento de la tasa de óxido de hierro / hidróxido y la descarbonización pueden seguirse espectralmente en las arenas que enmarcan el área ahora pantanosa. Se dibuja un resumen general de los grupos anteriores en el área que rodea el pantano real, proporcionando datos invaluables para usar en investigaciones limnológicas paleoclimáticas adicionales y en el desarrollo de nuevas técnicas para esta investigación. Por lo tanto, las imágenes hiperespectrales son una nueva herramienta para estimar procesos paleogeográficos en estudios ambientales de humedales.","Mineral climate indicators in paleoflooded and emerged areas around lake marshes (Tablas de Daimiel, Spain) using hyperspectral DAIS 7915 spectrometer data","Hyperspectral imagery has been able to distinguish paleoflooded areas related to a receding wetland due to differential mineralogical content associated with variable humidity in the past, and palustrine and fluvial processes, through maps performed using hyperspectral image processing. Gypsum, carbonate and organic matter are paleoclimate indicators spectrally recorded by the imagery in the visible and near infrared. Saline soils with gypsum, both on occasionally flooded areas adjacent to shallow river bands and on mudflats around standing water pools, have been mapped using DAIS data. Originally deeper areas, rich in organic matter where marshes develop at times of low water movement, are also shown. Sediments permanently exposed to the atmosphere dehydrate and oxidize, developing different mineralogical associations. Increase of the iron oxide/hydroxide rate and decarbonation can be spectrally followed on the sands framing the now-marshy area. A general outline of the past pools is drawn in the area surrounding the actual marsh, providing invaluable data to use in further paleoclimate limnological research and in the development of new techniques for this research. Therefore, hyperspectral imagery is a new tool to estimate paleogeographical processes in wetland environmental studies.",,,,,
62,#C17,0,1,2,Morfología de dunas de resolución múltiple usando Shuttle Radar Topography Mission (SRTM) y movilidad de dunas desde sistemas de inferencia difusos usando SRTM y datos altimétricos,"La compleja morfología de las grandes dunas de arena de los grandes desiertos del mundo tiene una importancia significativa en la conservación y el cambio climático y, por lo tanto, es de interés para una amplia variedad de aplicaciones científicas y ambientales, incluidos estudios sobre procesos eólicos, paleoclima, gestión de infraestructura civil y diseño de soplado. -y sistemas de control. Los estudios científicos sobre la formación y la dinámica de las dunas se han limitado a los márgenes del desierto debido a la inaccesibilidad del interior del desierto mediante técnicas convencionales de topografía y mapeo. Por lo tanto, la morfología de las dunas en los interiores del desierto profundo no está bien estudiada y todavía se conoce poco sobre las fuerzas impulsoras que controlan la actividad y la dinámica de las dunas. Demostramos la utilidad de las observaciones basadas en el espacio para caracterizar la morfología de las dunas. Específicamente, utilizamos los datos de la banda C de la Misión de Topografía por Radar Shuttle (SRTM) para investigar y comparar los atributos morfológicos de los campos de dunas de los Desiertos de Taklimakan y Namib. Las estimaciones de la rugosidad de la amplitud de la sección transversal tienen una magnitud similar, pero las pendientes pronunciadas son menos profundas en el desierto de Taklimakan que en el desierto de Namib. La alta relación altura-ancho (H: W) de 0.09 para las dunas lineales en el desierto de Taklimakan es indicativa de su equilibrio con el esfuerzo cortante eólico, mientras que las dunas del desierto de Namib son inestables. Las propiedades planimétricas de resolución múltiple del modelo de elevación digital SRTM (DEM) que usa la descomposición de ondas B-spline revelan que las dunas lineales en el desierto de Taklimakan se superponen sobre un sustrato similar a una cúpula, mientras que las dunas lineales en el desierto de Namib se construyen sobre una submorfología en forma de loma . Estas características de longitud de onda larga, tomadas como paleotopografía, pueden ser un factor de control importante en los patrones de viento y la sinuosidad de las dunas. Demostramos la utilidad de ANFIS para evaluar los cambios estacionales de dunas en el desierto de Namib utilizando observaciones ICESat y SRTM. ANFIS es un esquema de predicción basado en datos. La topografía pronosticada a lo largo de las pistas ICESat tiene un valor eficaz bajo de 3,5 m, un aumento del 30% con respecto a la precisión SRTM. La comparación de pistas estacionales de agosto de 2003 a enero de 2005 muestra que la mayoría de los cambios en la topografía de las dunas ocurren en la deformación crestal de las dunas aisladas. Los resultados muestran la disminución y la depilación estacional de las crestas de las dunas.",Multi-resolution dune morphology using Shuttle Radar Topography Mission (SRTM) and dune mobility from fuzzy inference systems using SRTM and altimetric data,"The complex morphology of large sand dunes of the world##s great deserts have significant importance on conservation and climate change and hence are of interest to a wide variety of scientific and environmental applications including studies on aeolian processes, paleoclimate, civilian infrastructure management, and design of blown-sand control systems. Scientific studies on dune formation and dynamics have been limited to desert margins due to inaccessibility of the desert interior by conventional surveying and mapping techniques. Thus, dune morphology in the deep desert interiors is not well studied and much about the driving forces controlling dune activity and dynamics are still poorly understood. We demonstrate the utility of space-based observations to characterize dune morphology. Specifically, we used the Shuttle Radar Topography Mission (SRTM) C-band data to investigate and compare morphologic attributes of dune fields of the Taklimakan and the Namib Deserts. Cross-sectional amplitude roughness estimates have similar magnitude but stoss slopes are shallower in the Taklimakan Desert than in the Namib Desert. The high Height-Width (H:W) ratio of 0.09 for the linear dunes in the Taklimakan Desert is indicative of its equilibrium with aeolian shear stress whereas the Namib Desert dunes are unstable. Multi-resolution planimetric properties from SRTM Digital Elevation Model (DEM) using B-spline wavelet decomposition reveal linear dunes in the Taklimakan Desert are superimposed on a dome-like substrate whereas the linear dune in the Namib Desert are constructed on a knoll-like submorphology. These long-wavelength features, taken as paleotopography, may be a major controlling factor on wind patterns and dune sinuosity. We demonstrate the utility of ANFIS to assess seasonal dune changes in the Namib Desert using ICESat observations and SRTM. ANFIS is a data-driven prediction scheme. Predicted topography along ICESat tracks have low rms of 3.5m, a 30% increase over SRTM accuracy. Seasonal track comparison from August 2003 to January 2005 shows that most changes to dune topography occur at crestal deformation of isolated dunes. The results show seasonal waning and waxing of dune crests.",,,,,
63,#C18,0,1,2,Índices potenciales de vegetación para determinar la cubierta forestal global,"Se examinó el potencial de los datos del Radiómetro avanzado de muy alta resolución (AVHRR) de la Administración Nacional Oceánica y Atmosférica (NOAA) adquiridos en longitudes de onda medias (MIR) e infrarrojas térmicas (TIR) â€‹â€‹para obtener información sobre la cobertura forestal mundial. Como un paso exploratorio, estas longitudes de onda se relacionaron con el porcentaje de cobertura de bosques de coníferas templados en la Cordillera de las Cascadas de Oregon, EE. UU. Estas longitudes de onda individualmente no se relacionaron fuertemente con el porcentaje de cobertura forestal. Sin embargo, su inclusión en los índices de vegetación sirvió para fortalecer las relaciones entre los datos de detección remota y la cubierta forestal. Uno de esos índices fue el índice de división compleja (C3 / (C1 * C2 * C4 * C5)), que también se separó entre las cuatro etapas sucesionales del bosque presentes en este sitio. Estos hallazgos tienen implicaciones para el uso de datos de sensores remotos adquiridos en las longitudes de onda MIR y TIR para derivar información global sobre la cubierta forestal.",Potential vegetation indices for determining global forest cover,"The potential of National Oceanic and Atmospheric Administration (NOAA) Advanced Very High Resolution Radiometer (AVHRR) data acquired in middle (MIR) and thermal infrared (TIR) wavelengths for deriving global forest cover information was examined. As an exploratory step, these wavelengths were related to percentage cover of temperate coniferous forests in the Cascade Range of Oregon, U.S.A. These wavelengths individually were not strongly related to percentage forest cover. However, their inclusion within vegetation indices served to strengthen relations between remotely-sensed data and forest cover. One such index was the complex division index (C3/(C1*C2*C4*C5)), which was also seen to separate among the four forest successional stages present at this site. These findings have implications for the use of remotely-sensed data acquired in MIR and TIR wavelengths for deriving global forest cover information.",,,,,
64,#C19,0,1,2,Intercomparación de conjuntos de datos de humedad del suelo de detección remota por microondas basados â€‹â€‹en simulación de modelo ecohidrológico distribuido y mediciones in situ en la llanura del norte de China,"Las comparaciones de productos de humedad del suelo a base de microondas de ASCAT activo (dispersómetro avanzado) y pasivo AMSR-E (radiómetro avanzado de escaneo de microondas para el sistema de observación de la Tierra) se realizan en base a simulaciones de humedad del suelo superficial (SSM) del modelo ecohidrológico Vegetación Procesos de interfaz (VIP), después de validarlo cuidadosamente con mediciones in situ en la llanura del norte de China. Las correlaciones con la simulación VIP SSM son generalmente satisfactorias con valores promedio de 0.71 para ASCAT y 0.47 para AMSR-E durante 2007-2009. ASCAT y AMSR-E presentan errores imparciales de 0.044 y 0.053 m3 m-3 en promedio, con respecto a la simulación del modelo. Los resultados del análisis empírico de las funciones ortogonales (EOF) ilustran que AMSR-E proporciona una estructura espacial SSM más consistente con VIP que ASCAT; mientras que ASCAT es más capaz de capturar dinámicas temporales de SSM. Esto está respaldado por el hecho de que ASCAT tiene coeficientes de expansión más consistentes que corresponden al modo EOF primario con VIP (R = 0.825, p & lt; 0.1). Sin embargo, la comparación basada en la anomalía de SSM demuestra que AMSR-E y ASCAT tienen una habilidad similar para capturar la variabilidad a corto plazo de SSM. El análisis temporal de las series temporales de anomalías de SSM muestra que AMSR-E ofrece el mejor rendimiento en otoño, mientras que ASCAT proporciona un sesgo de anomalías más bajo durante el verano altamente vegetado con una profundidad óptica de vegetación de 0.61. Además, la precisión de la recuperación ASCAT está menos influenciada por la cubierta vegetal, ya que está relativamente mejor de acuerdo con la simulación VIP en el bosque que en otros tipos de uso de la tierra y exhibe una fluctuación interanual menor que AMSR-E. La identificación de las características de error de estos dos conjuntos de datos de humedad del suelo por microondas será útil para interpretar correctamente los productos de datos y también facilitará la especificación óptima de la matriz de errores en la asimilación de datos a escala regional.",Intercomparison of microwave remote-sensing soil moisture data sets based on distributed eco-hydrological model simulation and in situ measurements over the North China Plain,"Intercomparisons of microwave-based soil moisture products from active ASCAT (Advanced Scatterometer) and passive AMSR-E (Advanced Microwave Scanning Radiometer for the Earth Observing System) is conducted based on surface soil moisture (SSM) simulations from the eco-hydrological model, Vegetation Interface Processes (VIP), after it is carefully validated with in situ measurements over the North China Plain. Correlations with VIP SSM simulation are generally satisfactory with average values of 0.71 for ASCAT and 0.47 for AMSR-E during 2007-2009. ASCAT and AMSR-E present unbiased errors of 0.044 and 0.053 m3 m-3 on average, with respect to model simulation. The empirical orthogonal functions (EOF) analysis results illustrate that AMSR-E provides more consistent SSM spatial structure with VIP than ASCAT; while ASCAT is more capable of capturing SSM temporal dynamics. This is supported by the facts that ASCAT has more consistent expansion coefficients corresponding to primary EOF mode with VIP (R = 0.825, p &lt; 0.1). However, comparison based on SSM anomaly demonstrates that AMSR-E and ASCAT have similar skill in capturing SSM short-term variability. Temporal analysis of SSM anomaly time series shows that AMSR-E provides best performance in autumn, while ASCAT provides lower anomaly bias during highly-vegetated summer with vegetation optical depth of 0.61. Moreover, ASCAT retrieval accuracy is less influenced by vegetation cover, as it is in relatively better agreement with VIP simulation in forest than in other land-use types and exhibits smaller interannual fluctuation than AMSR-E. Identification of the error characteristics of these two microwave soil moisture data sets will be helpful for correctly interpreting the data products and also facilitate optimal specification of the error matrix in data assimilation at a regional scale.",,,,,
65,#C1A,2,3,0,Diseño de un índice empírico para estimar el contenido de humedad del combustible a partir de imágenes NOAA-AVHRR en estudios de peligro de incendio forestal,"Se generó una estimación empírica del contenido de humedad del combustible vivo (FMC) a partir de variables derivadas del Radiómetro Avanzado de Alta Resolución (AVHRR) de la Administración Nacional Oceánica y Atmosférica (NOAA). Esta estimación se basó en la relación del Índice de vegetación de diferencia normalizada (NDVI) y la temperatura de la superficie (T s), y el verdor relativo (RGRE). Se derivó para la temporada de verano (de junio a septiembre). La estimación se calibró a partir de mediciones de campo recolectadas en el centro de España e incluyó la consideración de valores de FMC vivos tanto herbáceos como arbustivos. La estimación propuesta funcionó razonablemente bien para otros períodos en la misma área de estudio y también para otras áreas de estudio similares en ambientes mediterráneos. Esta estimación de FMC a partir de la teledetección podría usarse como una entrada para los programas estándar de peligro de incendio y comportamiento del fuego, proporcionando datos espacialmente completos, que son críticos para la planificación regional de la prevención de incendios.",Design of an empirical index to estimate fuel moisture content from NOAA-AVHRR images in forest fire danger studies,"An empirical estimation of live fuel moisture content (FMC) was generated from National Oceanic and Atmospheric Administration (NOAA) Advanced Very High Resolution Radiometer (AVHRR) derived variables. This estimation was based on the ratio of Normalized Difference Vegetation Index (NDVI) and surface temperature (T s), and the relative greenness (RGRE). It was derived for the summer season (from June to September). The estimation was calibrated from field measurements collected in central Spain, and included consideration of both herbaceous and shrub live FMC values. The proposed estimation worked reasonably well for other periods in the same study area and also for other similar study areas in Mediterranean environments. This estimation of FMC from remote sensing could be used as an input to standard fire danger and fire behaviour programs, providing spatially comprehensive data, which is critical for regional planning of fire prevention.",,,,,
66,#C1B,2,3,0,Un novedoso método de conjunto de niveles a escala múltiple para la segmentación de imágenes SAR basado en un modelo estadístico,"Para superar los problemas de los grandes volúmenes de datos y el fuerte ruido moteado en las imágenes de radar de apertura sintética (SAR), en este artículo se propone un enfoque de conjunto de niveles de escala múltiple para la segmentación de imágenes SAR. Debido a que el análisis a múltiples escalas de imágenes SAR conserva sus características de resolución más alta, mientras que además utiliza conjuntos de imágenes a resoluciones más bajas para mejorar funciones específicas, el método propuesto es útil para eliminar la influencia de las manchas y, al mismo tiempo, preservar Información estructural. La distribución Gamma es uno de los modelos más utilizados para representar las características estadísticas del ruido moteado en una imagen SAR y se introduce para definir la energía funcional. Además, en base al marco de conjunto de niveles de múltiples escalas, se introduce un enfoque mejorado de múltiples capas para la segmentación de múltiples regiones. Para obtener un resultado rápido y más preciso, se utiliza un nuevo resultado de segmentación de umbral para representar la curva de segmentación inicial. Los experimentos con imágenes SAR sintéticas y reales demuestran la efectividad del nuevo método.",A novel multi-scale level set method for SAR image segmentation based on a statistical model,"To overcome the problems of large data volumes and strong speckle noise in synthetic aperture radar (SAR) images, a multi-scale level set approach for SAR image segmentation is proposed in this article. Because the multi-scale analysis of SAR images preserves their highest resolution features while additionally making use of sets of images at lower resolutions to improve specific functions, the proposed method is useful for removing the influence of speckle and, at the same time, preserving important structural information. The Gamma distribution is one of the most commonly used models employed to represent the statistical characteristics of speckle noise in a SAR image and it is introduced to define the energy functional. Moreover, based on the multi-scale level set framework, an improved multi-layer approach is introduced for multi-region segmentation. To obtain a fast and more accurate result, a novel threshold segmentation result is used to represent the initial segmentation curve. The experiments with synthetic and real SAR images demonstrate the effectiveness of the new method.",,,,,
