Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"She J., Gu X., Tan J., Tong M., Wang C.","55597199100;57201385294;56021690000;57205732506;57205732235;","An appearance-preserving simplification method for complex 3D building models",2019,"Transactions in GIS","23","2",,"275","293",,1,"10.1111/tgis.12518","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061328434&doi=10.1111%2ftgis.12518&partnerID=40&md5=708bd4ea31773b77dc58c0148c4004da","Jiangsu Provincial Key Laboratory of Geographic Information Science and Technology, Nanjing, China; School of Geography and Ocean Science, Nanjing University, China; Jinling College, Nanjing University, China","She, J., Jiangsu Provincial Key Laboratory of Geographic Information Science and Technology, Nanjing, China, School of Geography and Ocean Science, Nanjing University, China; Gu, X., Jiangsu Provincial Key Laboratory of Geographic Information Science and Technology, Nanjing, China, School of Geography and Ocean Science, Nanjing University, China; Tan, J., School of Geography and Ocean Science, Nanjing University, China, Jinling College, Nanjing University, China; Tong, M., Jiangsu Provincial Key Laboratory of Geographic Information Science and Technology, Nanjing, China, School of Geography and Ocean Science, Nanjing University, China; Wang, C., Jiangsu Provincial Key Laboratory of Geographic Information Science and Technology, Nanjing, China, School of Geography and Ocean Science, Nanjing University, China","The simplification of 3D building models to effectively reduce model complexity and improve rendering efficiency is an important component of 3D GIS. To reduce the data volume while preserving the model appearance, this article proposes a novel simplification method for complex 3D building models. Texture discontinuities are addressed by developing a new data model that records the mapping relation between the texture coordinates of each vertex and its neighboring triangles. The surface mesh of the building model is then segmented into regions, guided by topology and appearance. Finally, the mesh segmentation information is used to derive an improved error metric that considers both geometric and texture errors, and the texture coordinates are adjusted after each simplification operation. A series of comparative experiments alongside traditional methods demonstrates that our approach achieves a good balance between geometric fidelity and texture preservation, and produces simplified 3D building models with better visual quality. © 2019 John Wiley & Sons Ltd",,"building; complexity; geometry; GIS; texture; three-dimensional modeling",Article,"Final",,Scopus,2-s2.0-85061328434
"Tomasiello D.B., Giannotti M., Arbex R., Davis C.","57195225660;55574872800;56786465800;7404356087;","Multi-temporal transport network models for accessibility studies",2019,"Transactions in GIS","23","2",,"203","223",,4,"10.1111/tgis.12513","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060129461&doi=10.1111%2ftgis.12513&partnerID=40&md5=25ecfd75d2b44bb98d2a3d4c88d6c122","Universidade de São Paulo, Brazil; Universidade Federal de Minas Gerais, Brazil","Tomasiello, D.B., Universidade de São Paulo, Brazil; Giannotti, M., Universidade de São Paulo, Brazil; Arbex, R., Universidade de São Paulo, Brazil; Davis, C., Universidade Federal de Minas Gerais, Brazil","Vehicle tracking is a spatio-temporal source of high-granularity travel time information that can be used for transportation planning. However, it is still a challenge to combine data from heterogeneous sources into a dynamic transport network, while allowing for network modifications over time. This article uses conceptual modeling to develop multi-temporal transport networks in geographic information systems (GIS) for accessibility studies. The proposed multi-temporal network enables accessibility studies with different temporal granularities and from any location inside the city, resulting in a flexible tool for transport and urban planning. The implemented network is tested in two case studies that focus on socially excluded people in a large global city, São Paulo, Brazil, including accessibility analyses from slum areas. It explores variations within a day and differences between transport modes across time. Case study results indicate how the accessibility is heterogeneous in low-income regions. © 2019 John Wiley & Sons Ltd",,"accessibility; GIS; low income population; network analysis; spatiotemporal analysis; transportation development; transportation planning; urban transport; Brazil; Sao Paulo [Brazil]; Sao Paulo [Sao Paulo (STT)]",Article,"Final",,Scopus,2-s2.0-85060129461
"Dong Q., Chen J., Liu T.","57197706176;55864295000;55727709100;","A topographically preserved road-network tile model and optimal routing method for virtual globes",2019,"Transactions in GIS","23","2",,"294","311",,,"10.1111/tgis.12520","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059943878&doi=10.1111%2ftgis.12520&partnerID=40&md5=3ba1a6065338e74ccf0d89a3c6258178","State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, China; Collaborative Innovation Center of Geospatial Technology, Wuhan University, China; Faculty of Geomatics, East China University of Technology, Nanchang, China","Dong, Q., State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, China, Collaborative Innovation Center of Geospatial Technology, Wuhan University, China; Chen, J., State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, China, Collaborative Innovation Center of Geospatial Technology, Wuhan University, China, Faculty of Geomatics, East China University of Technology, Nanchang, China; Liu, T., State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, China","Virtual globes enable the combination of heterogeneous datasets for optimal routing analyses in transportation, environmental ecology, and construction engineering. In this study, considering the advantages of the hierarchical tiling structure and topography of virtual globes, we propose a tile-based optimal routing method for large-scale road networks in a virtual globe. This method designs a topographically preserved road-network tile model by partitioning roads into tiles and constructs the road-network pyramid from the bottom to the top. During construction, a TileArc is calculated and flagged as the shortest path in a tile. Based on the built road-network pyramid carrying hierarchical TileArcs, a multi-level and flexible shortest path query can be executed efficiently. The proposed method is implemented with large road networks with different road grades in a virtual globe. Experimental results verify its validity, efficiency, and exactness. Moreover, the length of the shortest path with surface distance is approximately 1.3 times longer than that with Euclidean distance. © 2018 John Wiley & Sons Ltd",,"data set; efficiency measurement; GIS; hierarchical system; road; topographic mapping; virtual reality",Article,"Final",,Scopus,2-s2.0-85059943878
"Xiong L.-Y., Jiang R.-Q., Lu Q.-H., Yang B.-S., Li F.-Y., Tang G.-A.","57203879234;57205270819;57205271270;57202825241;15839851600;57196403563;","Improved Priority-Flood method for depression filling by redundant calculation optimization in local micro-relief areas",2019,"Transactions in GIS","23","2",,"259","274",,2,"10.1111/tgis.12516","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059352876&doi=10.1111%2ftgis.12516&partnerID=40&md5=9de2c3830b4842db72bf5318a6a2ed2c","Key Laboratory of Virtual Geographic Environment, Nanjing Normal University, China; State Key Laboratory Cultivation Base of Geographical Environment Evolution, Nanjing, China; Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China; State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, China","Xiong, L.-Y., Key Laboratory of Virtual Geographic Environment, Nanjing Normal University, China, State Key Laboratory Cultivation Base of Geographical Environment Evolution, Nanjing, China, Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China; Jiang, R.-Q., Key Laboratory of Virtual Geographic Environment, Nanjing Normal University, China, State Key Laboratory Cultivation Base of Geographical Environment Evolution, Nanjing, China, Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China; Lu, Q.-H., Key Laboratory of Virtual Geographic Environment, Nanjing Normal University, China, State Key Laboratory Cultivation Base of Geographical Environment Evolution, Nanjing, China, Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China; Yang, B.-S., State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, China; Li, F.-Y., Key Laboratory of Virtual Geographic Environment, Nanjing Normal University, China, State Key Laboratory Cultivation Base of Geographical Environment Evolution, Nanjing, China, Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China; Tang, G.-A., Key Laboratory of Virtual Geographic Environment, Nanjing Normal University, China, State Key Laboratory Cultivation Base of Geographical Environment Evolution, Nanjing, China, Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China","Depression filling is a critical step in distributed hydrological modeling using digital elevation models (DEMs). The traditional Priority-Flood (PF) approach is widely used due to its relatively high efficiency when dealing with a small-sized DEM. However, it seems inadequate and inefficient when dealing with large high-resolution DEMs. In this work, we examined the relationship between the PF algorithm calculation process and the topographical characteristics of depressions, and found significant redundant calculations in the local micro-relief areas in the conventional PF algorithm. As such calculations require more time when dealing with large DEMs, we thus propose a new variant of the PF algorithm, wherein redundant points and calculations are recognized and eliminated based on the local micro-relief water-flow characteristics of the depression-filling process. In addition, depressions and flatlands were optimally processed by a quick queue to improve the efficiency of the process. The proposed method was applied and validated in eight case areas using the Shuttle Radar Topography Mission digital elevation model (SRTM-DEM) with 1 arc-second resolution. These selected areas have different data sizes. A comparative analysis among the proposed method, the Wang and Liu-based PF, the improved Barnes-based PF, the improved Zhou-based PF, and the Planchon and Darboux (P&D) algorithms was conducted to evaluate the accuracy and efficiency of the proposed algorithm. The results showed that the proposed algorithm is 43.2% (maximum) faster than Wang and Liu's variant of the PF method, with an average of 31.8%. In addition, the proposed algorithm achieved similar performance to the improved Zhou-based PF algorithm, though our algorithm has the advantage of being simpler. The optimal strategies using the proposed algorithm can be employed in various landforms with high efficiency. The proposed method can also achieve good depression filling, even with large amounts of DEM data. © 2018 John Wiley & Sons Ltd",,"algorithm; comparative study; digital elevation model; efficiency measurement; flood; hydrological modeling; microrelief; optimization; Shuttle Radar Topography Mission",Article,"Final",,Scopus,2-s2.0-85059352876
"Xu Y., Xie Z., Wu L., Chen Z.","57095192900;36164790400;23101491100;26322275400;","Multilane roads extracted from the OpenStreetMap urban road network using random forests",2019,"Transactions in GIS","23","2",,"224","240",,1,"10.1111/tgis.12514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059069172&doi=10.1111%2ftgis.12514&partnerID=40&md5=e5854ae05a0b1067d1aafbdafba35c96","Faculty of Information Engineering, China University of Geosciences, Wuhan, China; National Engineering Research Center of Geographic Information System, Wuhan, China","Xu, Y., Faculty of Information Engineering, China University of Geosciences, Wuhan, China; Xie, Z., Faculty of Information Engineering, China University of Geosciences, Wuhan, China, National Engineering Research Center of Geographic Information System, Wuhan, China; Wu, L., Faculty of Information Engineering, China University of Geosciences, Wuhan, China, National Engineering Research Center of Geographic Information System, Wuhan, China; Chen, Z., Faculty of Information Engineering, China University of Geosciences, Wuhan, China","The volunteered geographic information (VGI) collected in OpenStreetMap (OSM) has been used in many applications. Extracting multilane roads and establishing a high level of expressed detail play important roles in the field of automated cartographic generalization. An accurate and detailed extraction process benefits geographic analysis, urban region division, and road network construction, as well as transportation applications services. The road networks in OSM have a high level of detail and complex structures; however, they also include many duplicate lines, which degrade the efficiency and increase the difficulty of extracting multilane roads. To resolve these problems, this work proposes a machine-learning-based approach, in which the road networks are first converted from lines to polygons. Then, various geometric descriptors, including compactness, width, circularity, area, perimeter, complexity, parallelism, shape descriptor, and width-to-length ratio, are used to train a random forest (RF) classifier and identify the candidates. Finally, another RF is trained to evaluate the candidates using all the geometric descriptors and topological features; the outputs of this second trained RF are the predicted multilane roads. An experiment using OSM data from Beijing, China validated the proposed method, which achieves a highly effective performance when extracting multilane roads from OSM. © 2018 John Wiley & Sons Ltd",,"accuracy assessment; automation; cartography; GIS; machine learning; mapping; model validation; polygon; road; transportation; urban area; urban region; Beijing [Beijing (ADS)]; Beijing [China]; China",Article,"Final",,Scopus,2-s2.0-85059069172
"Gulma U.L., Evans A., Heppenstall A., Malleson N.","57204980558;55739342900;9243300500;35190748300;","Diversity and burglary: Do community differences matter?",2019,"Transactions in GIS","23","2",,"181","202",,,"10.1111/tgis.12511","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058236308&doi=10.1111%2ftgis.12511&partnerID=40&md5=a4d28e1427df432938a10214fbff80ae","School of Geography, University of Leeds, Leeds, United Kingdom","Gulma, U.L., School of Geography, University of Leeds, Leeds, United Kingdom; Evans, A., School of Geography, University of Leeds, Leeds, United Kingdom; Heppenstall, A., School of Geography, University of Leeds, Leeds, United Kingdom; Malleson, N., School of Geography, University of Leeds, Leeds, United Kingdom","Diversity within a population has been linked to levels of both social cohesion and crime. Neighborhood crimes are the result of a complex set of factors, one of which is weak community cohesion. This article seeks to explore the impacts of diversity on burglary crime in a range of neighborhoods, using Leeds, UK as a case study. We propose a new approach to quantifying the correlates of burglary in urban areas through the use of diversity metrics. This approach is useful in unveiling the relationship between burglary and diversity in urban communities. Specifically, we employ stepwise multiple regression models to quantify the relationships between a number of neighborhood diversity variables and burglary crime rates. The results of the analyses show that the variables that represent diversity were more significant when regressed against burglary crime rates than standard socio-demographic data traditionally used in crime studies, which do not generally use diversity variables. The findings of this study highlight the importance of neighborhood cohesion in the crime system, and the key place for diversity statistics in quantifying the relationships between neighborhood diversities and burglary. The study highlights the importance of policy planning aimed at encouraging community building in promoting neighborhood safety. © 2018 John Wiley & Sons Ltd",,"crime; multiple regression; neighborhood; numerical model; safety; urban planning; urban policy; England; Leeds [England]; United Kingdom",Article,"Final",,Scopus,2-s2.0-85058236308
"Karimzadeh M., Pezanowski S., MacEachren A.M., Wallgrün J.O.","57207563261;16643655200;7004102300;8980472000;","GeoTxt: A scalable geoparsing system for unstructured text geolocation",2019,"Transactions in GIS","23","1",,"118","136",,8,"10.1111/tgis.12510","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060155279&doi=10.1111%2ftgis.12510&partnerID=40&md5=e80a308485e19915702c24d07d401f93","Purdue University, West Lafayette, IN, United States; Pennsylvania State University, University Park, PA, United States","Karimzadeh, M., Purdue University, West Lafayette, IN, United States; Pezanowski, S., Pennsylvania State University, University Park, PA, United States; MacEachren, A.M., Pennsylvania State University, University Park, PA, United States; Wallgrün, J.O., Pennsylvania State University, University Park, PA, United States","In this article we present GeoTxt, a scalable geoparsing system for the recognition and geolocation of place names in unstructured text. GeoTxt offers six named entity recognition (NER) algorithms for place name recognition, and utilizes an enterprise search engine for the indexing, ranking, and retrieval of toponyms, enabling scalable geoparsing for streaming text. GeoTxt offers a flexible application programming interface (API), allowing for customized attribute and/or spatial ranking of retrieved toponyms. We evaluate the system on a corpus of manually geo-annotated tweets. First, we benchmark the performance of the six NERs that GeoTxt provides access to. Second, we assess GeoTxt toponym resolution accuracy incrementally, demonstrating improvements in toponym resolution achieved (or not achieved) by adding specific heuristics and disambiguation methods. Compared to using the GeoNames web service, GeoTxt's toponym resolution demonstrates a 20% accuracy gain. Our results show that places mentioned in the same tweet do not tend to be geographically proximate. © 2018 John Wiley & Sons Ltd",,"algorithm; benchmarking; GIS; scale effect; spatial resolution; toponymy",Article,"Final",Open Access,Scopus,2-s2.0-85060155279
"Li J., Na J., Yang X., Cao J., Dai W., Tang G.","57189225976;57190374125;57214946816;57194288189;57199177577;57196403563;","Application of the Hilbert–Huang transform for recognition of active gully erosion sites in the Loess Plateau of China",2019,"Transactions in GIS","23","1",,"137","157",,,"10.1111/tgis.12512","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059338124&doi=10.1111%2ftgis.12512&partnerID=40&md5=dce750f198ef224cb479dc9c5a3c1c01","Key Laboratory of Virtual Geographic Environment of Ministry of Education, Nanjing Normal University, Nanjing, China; Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China; School of Environmental Science, Nanjing Xiaozhuang University, Nanjing, China; State Key Laboratory Cultivation Base of Geographical Environment Evolution, Jiangsu Province, Nanjing, China","Li, J., Key Laboratory of Virtual Geographic Environment of Ministry of Education, Nanjing Normal University, Nanjing, China, Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China; Na, J., Key Laboratory of Virtual Geographic Environment of Ministry of Education, Nanjing Normal University, Nanjing, China, Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China; Yang, X., Key Laboratory of Virtual Geographic Environment of Ministry of Education, Nanjing Normal University, Nanjing, China, Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China; Cao, J., Key Laboratory of Virtual Geographic Environment of Ministry of Education, Nanjing Normal University, Nanjing, China, Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China, School of Environmental Science, Nanjing Xiaozhuang University, Nanjing, China; Dai, W., Key Laboratory of Virtual Geographic Environment of Ministry of Education, Nanjing Normal University, Nanjing, China, Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China; Tang, G., Key Laboratory of Virtual Geographic Environment of Ministry of Education, Nanjing Normal University, Nanjing, China, Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China, State Key Laboratory Cultivation Base of Geographical Environment Evolution, Jiangsu Province, Nanjing, China","The loess shoulder-lines are known to be the most critical topographic structural lines in the loess landform area of the Loess Plateau, China. Previous studies have shown that gully erosion activity can be reflected in the dynamic changes of the shoulder-lines. In this study, active gully erosion sites along the shoulder-lines are investigated. Three typical test areas with different loess landforms are selected, and the loess shoulder-lines are derived from 1 m resolution digital elevation models. First, height profiles of the loess shoulder-lines are extracted. Then, from the perspective of frequency domains, active gully erosion sites are identified using the Hilbert–Huang transform (HHT). The experimental results show that the HHT method can effectively mine the intrinsic characteristics of the shoulder-lines. The detailed information components (non-components) and trend components of the height profiles can be obtained via ensemble empirical mode decomposition and a significance test. In addition, the HHT method was employed to identify the instantaneous frequency curve catastrophe points of the loess shoulder-line height profiles, and the physical meaning is clear: a higher frequency denotes greater energy and more severe erosive processes, and the catastrophe point locations represent the active gully erosion sites. Evidence from a recent field survey and a comparison with another method supports the results, indicating that the method proposed in this study could potentially be effective for the exploration and analysis of geomorphologically sensitive locations in loess landform studies. © 2018 John Wiley & Sons Ltd",,"catastrophic event; digital elevation model; geomorphology; gully erosion; loess; topography; China; Loess Plateau",Article,"Final",,Scopus,2-s2.0-85059338124
"Loraamm R.W., Downs J.A., Lamb D.","54583914100;23969835300;55917369400;","A time-geographic approach to quantifying wildlife–road interactions",2019,"Transactions in GIS","23","1",,"70","86",,2,"10.1111/tgis.12497","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058685776&doi=10.1111%2ftgis.12497&partnerID=40&md5=e8e45d3e8ff5185e21916d6a0c8f5be0","Department of Geography and Environmental Sustainability, University of Oklahoma, Norman, OK, United States; School of Geosciences, University of South Florida, Tampa, FL, United States","Loraamm, R.W., Department of Geography and Environmental Sustainability, University of Oklahoma, Norman, OK, United States; Downs, J.A., School of Geosciences, University of South Florida, Tampa, FL, United States; Lamb, D., School of Geosciences, University of South Florida, Tampa, FL, United States","Recent advances in time geography offer new perspectives for studying animal movements and interactions in an environmental context. In particular, the ability to estimate an animal's spatial location probabilistically at temporal sampling intervals between known fix locations allows researchers to quantify how individuals interact with one another and their environment on finer temporal and spatial scales than previously explored. This article extends methods from time geography, specifically probabilistic space–time prisms, to quantify and summarize animal–road interactions toward understanding related diurnal movement behaviors, including road avoidance. The approach is demonstrated using tracking data for fishers (Martes pennanti) in New York State, where the total probability of interaction with roadways is calculated for individuals over the duration tracked. Additionally, a summarization method visualizing daily interaction probabilities at 60 s intervals is developed to assist in the examination of temporal patterns associated with fishers’ movement behavior with respect to roadways. The results identify spatial and temporal patterns of fisher–roadway interaction by time of day. Overall, the methodologies discussed offer an intuitive means to assess moving object location probabilities in the context of environmental factors. Implications for movement ecology and related conservation planning efforts are also discussed. © 2018 John Wiley & Sons Ltd",,"assessment method; conservation planning; environmental factor; movement; probability; road; New York [United States]; United States; Animalia; Martes pennanti",Article,"Final",Open Access,Scopus,2-s2.0-85058685776
"Morgan B.J., Greco S.E.","57204977133;57189255003;","A GIS data model for public gardens",2019,"Transactions in GIS","23","1",,"87","103",,,"10.1111/tgis.12509","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058210871&doi=10.1111%2ftgis.12509&partnerID=40&md5=bfa27110dccd5d88cf44edf76c30519a","Department of Human Ecology, University of California, Davis, CA, United States","Morgan, B.J., Department of Human Ecology, University of California, Davis, CA, United States; Greco, S.E., Department of Human Ecology, University of California, Davis, CA, United States","An enterprise GIS data model was developed for use in public gardens, which includes botanical gardens, arboreta, and zoos. The data model defines the representation of geographical phenomena, the attributes of each feature, and the relationships between them in order to support information management and analysis within public gardens. The data model was developed using a three-stage process consisting of conceptual, logical, and physical design, each guided by stakeholder workshops and software testing. The data model includes the attributes of features necessary to create collection maps and perform collection analysis, and is designed to link to existing plant and animal records management systems (BG-BASE and ZIMS) through a common key. The Public Garden Data Model consists of three modules (Base Map, Facilities and Infrastructure, and Basic Plant Records), unified into one comprehensive spatial data model for public gardens, and contains 59 feature classes and tables connected by 49 relationship classes. © 2018 John Wiley & Sons Ltd",,"garden; GIS; mapping; numerical model; park design; public space; spatial data; Animalia",Article,"Final",Open Access,Scopus,2-s2.0-85058210871
"Vilches-Blázquez L.M., Saavedra J.","16318233100;57204859230;","A framework for connecting two interoperability universes: OGC Web Feature Services and Linked Data",2019,"Transactions in GIS","23","1",,"22","47",,2,"10.1111/tgis.12496","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057561353&doi=10.1111%2ftgis.12496&partnerID=40&md5=fe6a4e8d6347efc85c68aa54ee626eae","Javeriana University, Bogota, Colombia; Universidad Politécnica de Madrid, Spain; Centro de Investigación en Computación, Instituto Politécnico Nacional. UPALM-Zacatenco, Mexico City, Mexico","Vilches-Blázquez, L.M., Javeriana University, Bogota, Colombia, Centro de Investigación en Computación, Instituto Politécnico Nacional. UPALM-Zacatenco, Mexico City, Mexico; Saavedra, J., Universidad Politécnica de Madrid, Spain","Diverse studies have shown that about 80% of all available data are related to a spatial location. Most of these geospatial data are available as structured and semi-structured datasets, and often use distinct data models, are encoded using ad-hoc vocabularies, and sometimes are being published in non-standard formats. Hence, these data are isolated within silos and cannot be shared and integrated across organizations and communities. Spatial Data Infrastructures (SDIs) have emerged and contributed to significantly enhance data discovery and accessibility based on OGC (Open Geospatial Consortium) Web services. However, finding, accessing, and using data disseminated through SDIs are still difficult for non-expert users. Overcoming the current geospatial data challenges involves adopting the best practices to expose, share, and integrate data on the Web, that is, Linked Data. In this article, we have developed a framework for generating, enriching, and exploiting geospatial Linked Data from multiple and heterogeneous geospatial data sources. This proposal allows connecting two interoperability universes (SDIs, more specifically Web Feature Services, WFS, and Semantic Web technologies), which is evaluated through a study case in the (geo)biodiversity domain. © 2018 John Wiley & Sons Ltd",,"data set; GIS; spatial data; World Wide Web",Article,"Final",,Scopus,2-s2.0-85057561353
"Ma T., Pei T., Song C., Liu Y., Du Y., Liao X.","55728800300;7004466382;56495998600;57204856631;7402893687;57193401553;","Understanding geographical patterns of a city’s diurnal rhythm from aggregate data of location-aware services",2019,"Transactions in GIS","23","1",,"104","117",,3,"10.1111/tgis.12508","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057535334&doi=10.1111%2ftgis.12508&partnerID=40&md5=32a44c973344ce2df31b3926ce4c36ca","State Key Laboratory of Resources and Environmental Information Systems, Institute of Geographical Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China; Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China","Ma, T., State Key Laboratory of Resources and Environmental Information Systems, Institute of Geographical Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, China, University of Chinese Academy of Sciences, Beijing, China; Pei, T., State Key Laboratory of Resources and Environmental Information Systems, Institute of Geographical Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, China, University of Chinese Academy of Sciences, Beijing, China, Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China; Song, C., State Key Laboratory of Resources and Environmental Information Systems, Institute of Geographical Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, China, University of Chinese Academy of Sciences, Beijing, China; Liu, Y., State Key Laboratory of Resources and Environmental Information Systems, Institute of Geographical Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, China, University of Chinese Academy of Sciences, Beijing, China; Du, Y., State Key Laboratory of Resources and Environmental Information Systems, Institute of Geographical Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, China, University of Chinese Academy of Sciences, Beijing, China; Liao, X., State Key Laboratory of Resources and Environmental Information Systems, Institute of Geographical Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, China, University of Chinese Academy of Sciences, Beijing, China","Do collective behaviors of the daily routine of a city's inhabitants form the periodical cycling of human activity at the city level (here termed the “city's diurnal rhythm”)? If the answer is yes, do there exist geographical patterns in the city's diurnal rhythm? Using a nationwide dataset of observed uses of location-aware services in the largest Chinese social media platform, we first confirm the significant periodicity in city-level human activity from the perspective of the aggregate degree of social media uses over a day. We then investigate geographical changes in the diurnal rhythm of human activity and its local variations in different parts of the city, and between weekdays and weekend days, over 340 Chinese cities. Our results show that a city's diurnal rhythm across the whole country exhibits both regular, nationally conspicuous shifts along geographical gradients and locally distinct spatiotemporal changes within the city. Our findings could provide insights into the characterization of the daily routine of city-level human activity and its geographical patterns, and have potential for several issues in terms of planning, management, and decision-making related to human population dynamics. © 2018 John Wiley & Sons Ltd",,"diurnal activity; human activity; social media; urban area; China",Article,"Final",Open Access,Scopus,2-s2.0-85057535334
"Lee J., Yang B.","57196452035;56306618900;","Developing an optimized texture mapping for photorealistic 3D buildings",2019,"Transactions in GIS","23","1",,"1","21",,2,"10.1111/tgis.12494","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056779898&doi=10.1111%2ftgis.12494&partnerID=40&md5=3d0857c86a2839dd2f26524fe0886e6a","Incheon National University, Seoul, South Korea; DePaul University, Chicago, IL, United States","Lee, J., Incheon National University, Seoul, South Korea; Yang, B., DePaul University, Chicago, IL, United States","Texture mapping generates photorealistic representations of three-dimensional (3D) geometric objects and enhances the spatial perception of areas of interest. Over the past two decades, even though various approaches for 3D urban models have been investigated, their use has been limited because of the lack of spatial accuracy, details, and the complex processes. It is difficult to maintain highly detailed texture information without using a hybrid of aerial image and ground-based imaging techniques, which are costly. Furthermore, it is hard to develop a fully automated process for 3D urban mapping that achieves high spatial accuracy. With regard to the issues, this research aims to develop a semi-automated process for 3D building models that would help image-based approaches. It helps acquire qualified texture information and improve the appearance of building façades in a large city. In particular, this research first investigates an optimal overlap of consecutive aerial images that generates sufficient information to texture each façade, thus making this process more cost-effective. Second, this research develops an application to semi-automatically build 3D buildings and textured 3D buildings. The application is developed in C++. The textured 3D building models are quantitatively and qualitatively assessed to determine the usability of the semi-automated process. © 2018 John Wiley & Sons Ltd",,"aerial photography; building; image analysis; mapping; photography; spatial resolution; three-dimensional modeling",Article,"Final",Open Access,Scopus,2-s2.0-85056779898
"Ahabchane C., Trépanier M., Langevin A.","57195106338;6603041080;7004486817;","Street-segment-based salt and abrasive prediction for winter maintenance using machine learning and GIS",2019,"Transactions in GIS","23","1",,"48","69",,,"10.1111/tgis.12495","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056768992&doi=10.1111%2ftgis.12495&partnerID=40&md5=6355898fac2aa7eefbc74ecf2ce62845","Centre Interuniversitaire de Recherche sur les Réseaux d’Entreprise, la Logistique et le Transport (CIRRELT), Polytechnique MontréalQC, Canada","Ahabchane, C., Centre Interuniversitaire de Recherche sur les Réseaux d’Entreprise, la Logistique et le Transport (CIRRELT), Polytechnique MontréalQC, Canada; Trépanier, M., Centre Interuniversitaire de Recherche sur les Réseaux d’Entreprise, la Logistique et le Transport (CIRRELT), Polytechnique MontréalQC, Canada; Langevin, A., Centre Interuniversitaire de Recherche sur les Réseaux d’Entreprise, la Logistique et le Transport (CIRRELT), Polytechnique MontréalQC, Canada","Salting operations are essential but expensive in northern winters. We aim to predict the quantity of salt and abrasive needed for a specific road segment for each hour. An estimate of the quantity allows managers to better manage the loads in the trucks and to propose optimal vehicle routes based on the forecast, which will allow them to optimize costs. This article uses machine-learning techniques based on truck telemetry data, weather conditions, and segment attributes. Geographic information systems (GIS) allow us to exploit the street-network characteristics, which were ignored by previous prediction models. The results show that the XGBoost method performs better than other techniques (R 2  = 0.83). © 2018 John Wiley & Sons Ltd",,"abrasion; GIS; machine learning; maintenance; prediction; road; telemetry; winter",Article,"Final",Open Access,Scopus,2-s2.0-85056768992
