Authors;Author(s) ID;Title;Year;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;Cited by;DOI;Link;Affiliations;Authors with affiliations;Abstract;Author Keywords;Index Keywords;Document Type;Publication Stage;Access Type;Source;EID;label
Field K.;"55803810200;";Cartomyopic musings;2013;Cartographic Journal;50;1;;1;7;;2;10.1179/0008704113Z.00000000053;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875893200&doi=10.1179%2f0008704113Z.00000000053&partnerID=40&md5=d2718d1c796ef46cc81bd60c2b56c5c4;;Field, K.;[No abstract available];;;Editorial;Final;;Scopus;2-s2.0-84875893200;1
González C.-H., López-Vázquez C., Bernabé M.-A.;"55643242600;55672775500;26423518000;";Ephemeral conflation;2013;Cartographic Journal;50;1;;43;48;;1;10.1179/1743277412Y.0000000014;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875886662&doi=10.1179%2f1743277412Y.0000000014&partnerID=40&md5=8035b5446c93cbf6398ed503eb7effc5;"Laboratorio LatinGEO, ETSI Topografía, Geodesia y Cartografía Universidad Politécnica de Madrid (U.P.M.), Km. 7.5 Autovía de Valencia, E-28031 Madrid, Spain; Laboratorio LatinGEO, Del Servicio Geográfico Militar y la Universidad ORT del Uruguay, 8 de Octubre 3255, C.P. 11600 Montevideo, Uruguay";"González, C.-H., Laboratorio LatinGEO, ETSI Topografía, Geodesia y Cartografía Universidad Politécnica de Madrid (U.P.M.), Km. 7.5 Autovía de Valencia, E-28031 Madrid, Spain; López-Vázquez, C., Laboratorio LatinGEO, ETSI Topografía, Geodesia y Cartografía Universidad Politécnica de Madrid (U.P.M.), Km. 7.5 Autovía de Valencia, E-28031 Madrid, Spain, Laboratorio LatinGEO, Del Servicio Geográfico Militar y la Universidad ORT del Uruguay, 8 de Octubre 3255, C.P. 11600 Montevideo, Uruguay; Bernabé, M.-A., Laboratorio LatinGEO, ETSI Topografía, Geodesia y Cartografía Universidad Politécnica de Madrid (U.P.M.), Km. 7.5 Autovía de Valencia, E-28031 Madrid, Spain";The great availability of geographic information, due to Spatial Data Infrastructure development, the existence of data collected by volunteers, etc., makes the problems of geometric interoperability of data very conspicuous. Traditionally, conflation is being carefully carried out and evaluated by experts. Yet there are practices that involve occasional users who will look up the information in mobile devices without the intention of keeping a copy. Evaluation will be carried out? with different criteria, involving the Human Visual System and perhaps even the characteristics of the physical devices?as well. In this paper, we coin the term 'Ephemeral Conflation' to characterize that context and the procedures to evaluate it. © The British Cartographic Society 2013.;"Cartography; Conflation; Ephemeral cartography; Ephemeral conflation; Strong metrics; Weak metrics";"cartography; geometry; GIS; infrastructural development; spatial data";Article;Final;;Scopus;2-s2.0-84875886662;1
Vasan C.-A., Tripathi N.K., Paul J.;"55642803100;7005810184;55643503200;";Effective graphic features for multivariate symbol mapping;2013;Cartographic Journal;50;1;;66;81;;1;10.1179/1743277412Y.0000000025;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875885494&doi=10.1179%2f1743277412Y.0000000025&partnerID=40&md5=8791cd43f71806a4a1f798d102f1013a;Remote Sensing and Geographic Information System Field of Study, Asian Institute of Technology, Klong Luang, Pathumthani 12120, Thailand;"Vasan, C.-A., Remote Sensing and Geographic Information System Field of Study, Asian Institute of Technology, Klong Luang, Pathumthani 12120, Thailand; Tripathi, N.K., Remote Sensing and Geographic Information System Field of Study, Asian Institute of Technology, Klong Luang, Pathumthani 12120, Thailand; Paul, J., Remote Sensing and Geographic Information System Field of Study, Asian Institute of Technology, Klong Luang, Pathumthani 12120, Thailand";Various patterns of cartographic multivariate symbols (MSs) have been developed to work efficiently with objective symbol mapping. One such MS pattern is composed of a graph that uses spatial data to represent statistical data. A preliminary study revealed major problems with users' perceptions and understanding of the symbol. These problems present obstacles to the presentation objectives. We are therefore interested in studying the human factors that contribute to the visual perception of graph symbols. We predict that the graph symbols currently in use are too complex for viewers to fully understand what they are intended to represent. This research aims to study the mechanisms and behaviours of human visual perception that are necessary to understand cartography MSs and to determine a more effective prototype symbol that presents and conveys information to viewers more efficiently. The prototype design is based on a basic cartographic symbol and includes the characteristics and properties of the original patterns of graph symbols via a study of their pros and cons. Graphic structures and properties were modified to create a more effective symbol. © The British Cartographic Society 2013.;"Global visualisation; Location-based graph symbol; Multivariate symbol; Visual perception";"cartography; mapping; multivariate analysis; perception; spatial data; visualization";Article;Final;;Scopus;2-s2.0-84875885494;1
Ławniczak R., Kubiak J.;"26031052000;35775474100;";Implementation of the 1 : 10 000 scale for visualisation of environmental changes;2013;Cartographic Journal;50;1;;82;90;;1;10.1179/1743277412Y.0000000009;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875882008&doi=10.1179%2f1743277412Y.0000000009&partnerID=40&md5=ff573e8bcf2938e518ce1c31c6da011f;Institute of Physical Geography and Environmental Planning, Adam Mickiewicz University, Poznań, Poland;"Ławniczak, R., Institute of Physical Geography and Environmental Planning, Adam Mickiewicz University, Poznań, Poland; Kubiak, J., Institute of Physical Geography and Environmental Planning, Adam Mickiewicz University, Poznań, Poland";This paper is an elaboration of the theses proposed in 'Cartographic presentation of forms and degradation of the natural environment: sozological map on a scale of 1: 50 000' (Lawniczak and Kubiak, 2009), where a sozological map of Poland was presented. The said map contained comprehensive cartographic information on the forms of environmental protection and degradation, made to a scale of 1: 50 000. The thematic scope of the map has already been modified twice: in 1997 and in 2005, with the ensuing changes presented in corresponding manuals: Sozological Map on a Scale of 1: 50 000, in an Analogue and Digital Form (Chief National Geodesist, 1997) and Technical Guidelines GIS-4. Sozological Map of Poland, Scale of 1:50000, in an Analogue and Digital Form (2005). Many years' worth of experience gained since the launch of this cartographic system points out to the need for broadening the presented content and improving the map's scale. Thus, attempts have been made at rescaling the map to 1: 10 000. Increasing the degree of detail is particularly necessary for presenting areas of intensive human activity. In this paper, the authors propose technical and graphical solutions for the 1: 10 000 scale. ©The British Cartographic Society 2013.;"GIS; Sozological map; Thematic cartography";"cartography; digital map; environmental change; environmental degradation; environmental protection; GIS; thematic mapping; visualization; Poland";Article;Final;;Scopus;2-s2.0-84875882008;1
Muñoz-Nieto A., Rodríguez-Gonzálvez P., González-Aguilera D., Mancera-Taboada J.;"25028497500;25650877600;24477009700;35113492700;";New insights into the concept of orienteering maps;2013;Cartographic Journal;50;1;;91;97;;2;10.1179/1743277412Y.0000000006;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875878329&doi=10.1179%2f1743277412Y.0000000006&partnerID=40&md5=329f0ddb6a68f85b52ca761b884336ea;University of Salamanca, Avila 05003, Spain;"Muñoz-Nieto, A., University of Salamanca, Avila 05003, Spain; Rodríguez-Gonzálvez, P., University of Salamanca, Avila 05003, Spain; González-Aguilera, D., University of Salamanca, Avila 05003, Spain; Mancera-Taboada, J., University of Salamanca, Avila 05003, Spain";Orienteering is both a mental and physical activity. A compass and maps are the basic tools of orienteering, and orienteering requires specialized maps that have been adapted and standardized to guarantee fair competition. Mapmaking for orienteering has become a highly specialized cartographic task. This paper aims to answer three main questions: What is an orienteering map (o-map)? How should we categorize o-maps? What are its essential components? The answers to these questions provide insight into the concept and nature of o-maps. By analysing the functions of this type of maps and by searching for similarities and differences between o-maps, topographic maps, and nautical charts, we attempt to comprehensively characterize and conceptualize o-maps to contribute to their improvement. © The British Cartographic Society 2013.;"Map standardisation; Map-making; Maps taxonomy; Orienteering maps";"cartography; standardization; topographic mapping";Article;Final;;Scopus;2-s2.0-84875878329;1
He L., Chen M., Lu G., Lin H., Liu L., Xu J.;"38961444600;55733214300;7403460568;36071585400;55643096000;55643856000;";An approach to transform Chinese historical books into scenario-based historical maps;2013;Cartographic Journal;50;1;;49;65;;5;10.1179/1743277412Y.0000000024;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875875565&doi=10.1179%2f1743277412Y.0000000024&partnerID=40&md5=b96bb0427ccabc45bac2199ec97d2676;"Key Laboratory of Virtual Geographic Environment (Ministry of Education of China), Nanjing Normal University, Nanjing, China; Institute of Space and Earth Information Science, The Chinese University of Hong Kong, Hong Kong, China; Shenzhen Institutes of the Chinese University of Hong Kong, Shenzhen, China; Department of History, Nanjing Normal University, Nanjing, China; SuperMap Software Co., Ltd., Beijing, China";"He, L., Key Laboratory of Virtual Geographic Environment (Ministry of Education of China), Nanjing Normal University, Nanjing, China, Shenzhen Institutes of the Chinese University of Hong Kong, Shenzhen, China; Chen, M., Institute of Space and Earth Information Science, The Chinese University of Hong Kong, Hong Kong, China, Shenzhen Institutes of the Chinese University of Hong Kong, Shenzhen, China; Lu, G., Key Laboratory of Virtual Geographic Environment (Ministry of Education of China), Nanjing Normal University, Nanjing, China; Lin, H., Institute of Space and Earth Information Science, The Chinese University of Hong Kong, Hong Kong, China; Liu, L., Department of History, Nanjing Normal University, Nanjing, China; Xu, J., SuperMap Software Co., Ltd., Beijing, China";Spatio-temporal information (e.g. time, location, person and event) recorded in detail in vast Chinese historical books can provide evidence about the movement of entities (e.g. people, family, army and weapons) and their underlying spatial behaviours. Furthermore, this information largely reflects the process of social development, which makes it valuable to both professional research and public awareness. However, this information cannot be easily expressed and visually utilized because it is often hidden in the text of historical books. Aiming to better realize the potential value of such abundant information derived from historical books and bridging the gap between historical research and geographic space, a feasible and appropriate approach is explored in this article, to guide the transforming process from historical books to historical maps. The hope is that providing the scenarios of historical events will benefit related historical and social research. First, the integral framework of the approach was introduced, and the detail of building the specific spatiotemporal framework for information matching was discussed. Based on the spatio-temporal framework, the specification for the representation of historical books was designed. By extracting the spatio-temporal data from historical books, organizing them according to the specification and matching them with the spatio-temporal framework, the scenarios of historical events in the book (e.g. wars, migration, diseases, natural disasters, mass movement, etc.) can be visually transformed into historical maps. As the most critical writing of the Chinese Twenty-Four Histories, the Records of the Grand Historian (also known as Shiji) was employed as an example to test the proposed approach. © The British Cartographic Society 2013.;"Historical book; Historical map; Shiji; Spatio-temporal data organisation; Spatio-temporal information extraction";"historical cartography; map; research; spatiotemporal analysis; textbook; China";Article;Final;;Scopus;2-s2.0-84875875565;1
Isenberg T.;"6506341607;";Visual abstraction and stylisation of maps;2013;Cartographic Journal;50;1;;8;18;;14;10.1179/1743277412Y.0000000007;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867634648&doi=10.1179%2f1743277412Y.0000000007&partnerID=40&md5=15e0f16eaf8cb3aa34470ce5ec2ef6ed;"University of Groningen, Groningen, Netherlands; DIGITEO/CNRS/INRIA, France";Isenberg, T., University of Groningen, Groningen, Netherlands, DIGITEO/CNRS/INRIA, France;We explore visual map abstraction for the generation of stylized renderings of 2D map data. We employ techniques that are centred around the concept of shape simplification and graph layout and that allow iterative abstraction of 2D maps. We use data from publicly available sources and show how we can iteratively generate aesthetic renditions of these maps. These renditions do not have the goal to allow for navigation tasks, but instead show the map data in a distorted manner. The techniques used to create these images apply simplification, abstraction/generalisation, and displacement operations to the map elements in varying orders and add stylistic shading to produce aesthetic renditions for print or electronic displays. The degree of abstraction/generalisation can be individually chosen and determines the characteristics of the distorted map: whether components retain their shape, degenerate, or are processed in a manner that the abstraction becomes the focus of the image rather than the underlying map data. The renditions can be further personalized by choosing shading and colours for this shading. Together, the presented techniques allow for playful and creative exploration of aesthetic renditions of 2D map data. © The British Cartographic Society 2013.;"Abstraction; And simplification; Generalisation; Illustrative rendering; Map stylisation; Non-photorealistic rendering (NPR)";"cartography; color; design; map";Article;Final;;Scopus;2-s2.0-84867634648;1
Schiewe J., Weninger B.;"6701466621;55193202900;";Visual encoding of acoustic parameters - framework and application to noise mapping;2013;Cartographic Journal;50;4;;332;344;;7;10.1179/1743277412Y.0000000026;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888793129&doi=10.1179%2f1743277412Y.0000000026&partnerID=40&md5=bf094069a1d0b9e0e9f5df0e3284d82e;HafenCity University Hamburg, Lab for Geoinformatics and Geovisualization, Hebebrandstr. 1, 22297 Hamburg, Germany;"Schiewe, J., HafenCity University Hamburg, Lab for Geoinformatics and Geovisualization, Hebebrandstr. 1, 22297 Hamburg, Germany; Weninger, B., HafenCity University Hamburg, Lab for Geoinformatics and Geovisualization, Hebebrandstr. 1, 22297 Hamburg, Germany";Along with an increasing importance and awareness of sonic phenomena related to the human environment, there is a growing need for a comprehensive communication of sound information. The central goal of this contribution is the development of a systematic and comprehensive framework that considers the particular properties of sound phenomena. This framework is structured according to the acoustic quantities that shall be represented and consists of recommendations for their cartographical encoding. A proof of concept is given through the application to official strategic noise maps in the course of the Environmental Noise Directive. Those maps suffer from several weaknesses from a cartographical point of view (e.g. concerning colour schemes or band-like illustrations) which can be eliminated by applying some of the mentioned recommendations. Finally, it will be possible to derive valuable knowledge from our results for multimodal encoding and value transformation between senses. © The British Cartographic Society 2013.;"Multimedia maps; Noise mapping; Phonometric tints; Sound visualisation";"acoustic method; cartography; map; mapping; noise; visualization";Article;Final;;Scopus;2-s2.0-84888793129;1
Skiles M.D., Howarth J.T.;"55614735800;55382591700;";From signs to minds: Spatial information design and mental maps;2012;Cartographic Journal;49;4;;312;325;;3;10.1179/1743277412Y.0000000020;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874643880&doi=10.1179%2f1743277412Y.0000000020&partnerID=40&md5=da946a21620b795e43a2d2a830b991c6;Department of Geography, Middlebury College, VT 05753, United States;"Skiles, M.D., Department of Geography, Middlebury College, VT 05753, United States; Howarth, J.T., Department of Geography, Middlebury College, VT 05753, United States";This study examines how information design on road signs influences spatial learning. Participants viewed a sequence of signs as if travelling by car through a fictional environment, making turn choices according to assigned goals, and then completed a mapping task. After a second sign viewing, this time without turn decisions, participants repeated the mapping task. For the first mapping task, participants who viewed signs with spatial information presented cartographically produced more topologically-accurate maps than those viewing conventional signs. These differences faded after the second sign viewing. Our results suggest that guide signs with maps can facilitate incidental learning of spatial configuration. © The British Cartographic Society 2012.;"Mental maps; Navigation aids; Spatial information design; Wayfinding";"cartography; cognition; human behavior; learning; mapping method; navigation aid; road transport; spatial analysis; topology";Article;Final;;Scopus;2-s2.0-84874643880;1
Mueblenhaus I.;"55615629700;";If looks could kill: The impact of different rhetorical styles on persuasive geocommunication;2012;Cartographic Journal;49;4;;361;375;;21;10.1179/1743277412Y.0000000032;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874643873&doi=10.1179%2f1743277412Y.0000000032&partnerID=40&md5=e358ed183d481f0d82410fbbe640c50c;Department of Geography and Earth Sciences, University of Wisconsin, La Crosse, WI 54601, United States;Mueblenhaus, I., Department of Geography and Earth Sciences, University of Wisconsin, La Crosse, WI 54601, United States;"This study analyses the impact that different rhetorical styles have on reader trust in, fondness for and memory of maps showing the same exact data. Previous research has identified four unique rhetorical styles used on maps meant to persuade an audience. Four maps of a hypothetical nuclear meltdown in the USA using embellished radiation data were produced, each following the design guidelines of one of the four rhetorical styles. An online survey was created testing: (1) map readers' inclination to believe the data being shown on the four maps; (2) the impact the representations had on personal views regarding nuclear power; (3) map reader trust in the maps; (4) fondness for the maps; and (5) memorability of the maps (i.e. how likely a map would be recalled). The results indicate that different map rhetorical styles result in different levels of opinion change, trust in the data and confidence in answering questions about the data. Designing convincing arguments with maps requires more than lying; different rhetorical designs can help achieve different persuasive goals. © The British Cartographic Society 2012.";"Map design; Map interpretation; Map likability; Map rhetoric; Map trust; Persuasive maps";"cartography; communication; data interpretation; data quality; map; nuclear accident; nuclear power; perception; public attitude; United States";Article;Final;;Scopus;2-s2.0-84874643873;1
Lautenschütz A.-K.;"23467236800;";Map readers' assessment of path elements and context to identify movement behaviour in visualisations;2012;Cartographic Journal;49;4;;337;349;;3;10.1179/1743277412Y.0000000029;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874634254&doi=10.1179%2f1743277412Y.0000000029&partnerID=40&md5=f039577be249779045d5d63956fe3388;Department of Geography, University of Zürich, Winterthurerstr. 190, 8057 Zürich, Switzerland;Lautenschütz, A.-K., Department of Geography, University of Zürich, Winterthurerstr. 190, 8057 Zürich, Switzerland;Understanding the complex nature of movement data and integrating it sufficiently into visual analytics tools is largely missing in GIScience. A user experiment assesses quantitatively and qualitatively which path elements contribute to map readers' ability to identify a moving object and its behaviour in visual displays of movement. Context was added as a control variable by showing the movement path either on a homogenous background or embedded in a terrain map. The analysis shows that participants mainly used the character of the line and the shape of the represented behaviour to interpret the visualisation. Independently of context information, participants use the same path elements. With this approach, we hope to provide a first stepping-stone to identify the key elements that contribute to map readers' ability to understand and analyse movement behaviour with visual analytics tools. © The British Cartographic Society 2012.;"Experiment; Map reading; Movement visualisation; Path elements";"data interpretation; experimental study; GIS; map; movement; path analysis; terrain; visual analysis; visualization";Article;Final;;Scopus;2-s2.0-84874634254;1
Griffin A.L., Fabrikant S.I.;"57201497598;14324591800;";More maps, more users, more devices means more cartographic challenges;2012;Cartographic Journal;49;4;;298;301;;18;10.1179/0008704112Z.00000000049;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874617406&doi=10.1179%2f0008704112Z.00000000049&partnerID=40&md5=c48ddb421d3f37d1807f847ca7e2ed6e;"School of Physical, Environmental and Mathematical Sciences, University of New South Wales, Canberra, Australia; Department of Geography, University of Zürich, Switzerland";"Griffin, A.L., School of Physical, Environmental and Mathematical Sciences, University of New South Wales, Canberra, Australia; Fabrikant, S.I., Department of Geography, University of Zürich, Switzerland";[No abstract available];;"algorithm; cartogram; cartography; cognition; data acquisition; mapping method; technological development; visualization; World Wide Web";Review;Final;;Scopus;2-s2.0-84874617406;1
Bianchetti R.A., Wallgrün J.O., Yang J., Blanford J., Robinson A.C., Klippel A.;"57154434700;8980472000;55311810800;36499154600;8842250100;8438953000;";Free classification of Canadian and American emergency management map symbol standards;2012;Cartographic Journal;49;4;;350;360;;8;10.1179/1743277412Y.0000000022;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874612198&doi=10.1179%2f1743277412Y.0000000022&partnerID=40&md5=371c03854d4947f51b67683fd64e90ad;Department of Geography, GeoVISTA Center, Pennsylvania State University, 206 Walker Building, University Park, PA 16802, United States;"Bianchetti, R.A., Department of Geography, GeoVISTA Center, Pennsylvania State University, 206 Walker Building, University Park, PA 16802, United States; Wallgrün, J.O., Department of Geography, GeoVISTA Center, Pennsylvania State University, 206 Walker Building, University Park, PA 16802, United States; Yang, J., Department of Geography, GeoVISTA Center, Pennsylvania State University, 206 Walker Building, University Park, PA 16802, United States; Blanford, J., Department of Geography, GeoVISTA Center, Pennsylvania State University, 206 Walker Building, University Park, PA 16802, United States; Robinson, A.C., Department of Geography, GeoVISTA Center, Pennsylvania State University, 206 Walker Building, University Park, PA 16802, United States; Klippel, A., Department of Geography, GeoVISTA Center, Pennsylvania State University, 206 Walker Building, University Park, PA 16802, United States";Emergency management in transnational contexts can be a challenging endeavour. Cultural and language differences among multiple countries can hinder the exchange of information during dynamic emergency response. With increasing international threats and the explosion of near real-time data availability, the emergency response process has become mired in complex communication practices. Maps have the potential to provide an intuitive medium for communication and means for establishing situation awareness during emergency events. The development of map symbol standards is one method for improving communication efficiency. This paper evaluates how the design of two national emergency management map symbol sets (American ANSI and Canadian EMS) influences map-readers' conception of represented information. © The British Cartographic Society 2012.;"Cognition; Emergency management; Free classification; Map symbology";"cartography; cognition; cultural influence; image classification; information and communication technology; language; mapping method; real time; standard (reference); Canada; United States";Article;Final;;Scopus;2-s2.0-84874612198;1
Speake J., Axon S.;"6603785459;55018353200;";"""I never use 'Maps' anymore"": Engaging with sat nav technologies and the implications for cartographic literacy and spatial awareness";2012;Cartographic Journal;49;4;;326;336;;20;10.1179/1743277412Y.0000000021;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874608671&doi=10.1179%2f1743277412Y.0000000021&partnerID=40&md5=51ef11d46162b79932c5d297aeb7a154;Liverpool Hope University, United Kingdom;"Speake, J., Liverpool Hope University, United Kingdom; Axon, S., Liverpool Hope University, United Kingdom";It is somewhat paradoxical that at a time of widespread and increasing adoption of Satellite Navigation (Sat Nav) technologies of way finding, geographic and cartographic research has engaged very little with issues relating to their impact on spatial awareness and cartographic literacy. Through exploration of geography students' engagements with Sat Nav, we investigate how these latest forms of way finding technologies are influencing choice and methods of navigation and how they affect attitudes towards more 'traditional' forms of maps and map use. We explore engagement in terms of what geography students know about, feel towards, and achieve with, Sat Nav technologies. Principally, Sat Nav is not seen as a 'map' but as something different and distinctive. This, in turn, has implications for how people navigate, how they relate to the places and spaces around them and for their spatial cognition and 'map-reading' abilities. © The British Cartographic Society 2012.;"Cartographic engagement; Cartographic literacy; Sat Nav; Spatial awareness; Technologies of navigation";"cartography; educational development; literacy; navigation; public attitude; satellite navigation system; spatial cognition; student";Article;Final;;Scopus;2-s2.0-84874608671;1
Roth R.E.;"24489311800;";Cartographic interaction primitives: Framework and synthesis;2012;Cartographic Journal;49;4;;376;395;;52;10.1179/1743277412Y.0000000019;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874608555&doi=10.1179%2f1743277412Y.0000000019&partnerID=40&md5=36e7b92d1dfe23eb10edc67602ca23d0;Department of Geography, University of Wisconsin-Madison, 550 N. Park Street, Madison, WI 53706, United States;Roth, R.E., Department of Geography, University of Wisconsin-Madison, 550 N. Park Street, Madison, WI 53706, United States;"A cartographic interaction primitive is a basic unit of interactivity that is combined with other primitives in sequence when using interactive maps. The construction of a taxonomy of these basic interaction primitives is considered the 'grand challenge of interaction', as such taxonomies provide a consistent lexicon for describing map-based interaction strategies and interface designs, inform the design of scientific experiments to investigate the nature of cartographic interaction, and ultimately lead to design and use guidelines for interactive maps. The purpose of this research is not to offer a new framework of interaction primitives - as there are many in existence - but to organize and synthesize extant strategies for parsing interaction within Cartography and the related fields of Human-Computer Interaction, Information Visualisation, and Visual Analytics into a logical framework. Norman's stages of action model provides a useful foundation for conceptualizing interaction primitives, with organisation of extant taxonomies by the model resulting in three dominant approaches for parsing interaction: (1) an objective-based approach, compartmentalizing cartographic interaction according to the kinds of tasks the user may wish to complete with a cartographic interface; (2) an operator-based approach, compartmentalizing cartographic interaction according to the unique cartographic interfaces that make manipulation of a cartographic representation possible; and (3) an operand-based approach, compartmentalizing cartographic interaction according to characteristics of the digital/virtual object with which the user is interacting. Extant interaction primitive taxonomies representative of each of these three approaches are treated in turn, synthesizing key themes within each approach and identifying important concordances and discordances across the associated taxonomies. © The British Cartographic Society 2012.";"Cartographic interaction; Human-Computer Interaction; Information Visualisation; Interaction primitives; Interactive maps; Objectives; Operands; Operators; Stages of interaction; Visual Analytics";"cartogram; cartography; compartmentalization; computer system; conceptual framework; experimental design; mapping method; numerical model; visual analysis; visualization";Article;Final;;Scopus;2-s2.0-84874608555;1
Field K.;"55803810200;";Editorial preface: The last before the big five-0;2012;Cartographic Journal;49;4;;297;;;;10.1179/0008704112Z.00000000050;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874606252&doi=10.1179%2f0008704112Z.00000000050&partnerID=40&md5=077c0b72ba7a8a3321505776c7c57c0f;"Esri Inc., United Kingdom; Kingston University London, United Kingdom";Field, K., Esri Inc., United Kingdom, Kingston University London, United Kingdom;[No abstract available];;;Editorial;Final;;Scopus;2-s2.0-84874606252;1
Culp G.M.;"55613627000;";Increasing accessibility for map readers with acquired and inherited colour vision deficiencies: A re-colouring algorithm for maps;2012;Cartographic Journal;49;4;;302;311;;17;10.1179/1743277412Y.0000000030;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874598262&doi=10.1179%2f1743277412Y.0000000030&partnerID=40&md5=a60ea026e7dac82de344fe0aa1f57519;Department of Earth and Environmental Sciences - Geography, CUNY, NY, United States;Culp, G.M., Department of Earth and Environmental Sciences - Geography, CUNY, NY, United States;"Approximately 8% of the male population suffers from an inherited form of colour vision deficiency (CVD). Age, diabetes, macular degeneration, cataracts and glaucoma result in eye defects including an acquired form of CVD. Inherited CVD is marked by a difficulty in discerning red from green, while acquired CVD is marked by a difficulty in discerning blue from green. A recent review of the cartographic literature revealed a deficit in studies on accessible maps for readers with the acquired form of CVD. In addition, research on accessible maps for readers with the inherited form of CVD was restricted to the design or pre-publication stage. An approach is needed to render maps already in circulation accessible to an audience with CVD. The purpose of this paper is twofold: first, to provide the reader with some background on acquired and inherited CVD; second, to introduce a potential approach to improve the accessibility of maps post-publication. Image re-colouring is a method of altering an image's colour composition in such a way as to make it accessible to a colour vision deficient audience. An innovative algorithm is presented that produces a re-coloured map that can be perceived by both red-green (inherited) and blue-green (acquired) deficiencies. Although the algorithm has yet to be tested on human subjects, it performed well on an edge detection analysis. © The British Cartographic Society 2012.";"Image re-colouring; Inherited and acquired colour vision deficiencies; Map";"algorithm; cartography; eye disease; health status; heritability; image processing; literature review; map; mapping method; perception; vision";Article;Final;;Scopus;2-s2.0-84874598262;1
Pearson B.C.;"15221222700;";Deconstructing galbraith: A geostatistical analysis of cartographic intent;2012;Cartographic Journal;49;3;;218;233;;;10.1179/1743277412Y.0000000013;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867740166&doi=10.1179%2f1743277412Y.0000000013&partnerID=40&md5=b5d790816c7486e183cb03fac6549169;University of Central Arkansas, 201 Donaghey Avenue, Irby 302C, Conway, AR, United States;Pearson, B.C., University of Central Arkansas, 201 Donaghey Avenue, Irby 302C, Conway, AR, United States;This study uses cartometric techniques to reveal cartographic design considerations operative in Frank H. Galbraith's 1897 railway mail service training maps. Galbraith's maps make extensive use of humorous cartouches intended to serve as mnemonic devices for learning railway mail service routes. Poisson and quadrat point pattern analyses are performed on all eight maps in the series to determine whether the mimetic symbols are clustered along the railway mail routes or dispersed throughout the mapped spaces to achieve better graphic balance. Evidence overwhelmingly indicates that the placement of the mnemonic symbols was primarily driven by design considerations. The study therefore proves that it is possible to use cartometric techniques to deconstruct the map document to determine the cartographic design principles operative during the map's construction. © The British Cartographic Society 2012.;"Cartometry; Frank H. Galbraith; GIS; Historical cartography; Map design; Mimetic symbols; Quantitative analysis; Railway maps";"design; geostatistics; GIS; historical cartography; quantitative analysis; railway transport";Article;Final;;Scopus;2-s2.0-84867740166;1
