Documents,1,2,3,4,5,6,7,8,9,10,11,12
87,,,0,,,,,,1,,,0
88,,,,,,,,,1,1,,1
89,,,,,,0,,,0,1,,
90,,,,1,,0,,,,0,,
91,,0,,0,,0,,,,,,
92,,0,,0,,,,0,,,,
93,,1,,,,,,1,,,1,
94,,,,,1,,,1,,,0,
95,,,,,1,,1,,,,1,
96,1,,,,1,,0,,,,,
97,1,,1,,,,1,,,,,
98,1,,1,,,,,,,,,1
99,,,0,,,,,,1,,,0
100,,,,,,,,,1,1,,1
101,,,,,,1,,,1,1,,
102,,,,0,,0,,,,0,,
103,,1,,1,,1,,,,,,
104,,0,,0,,,,1,,,,
105,,1,,,,,,1,,,1,
106,,,,,1,,,1,,,1,
107,,,,,1,,0,,,,1,
108,0,,,,1,,0,,,,,
109,0,,1,,,,0,,,,,
110,0,,0,,,,,,,,,0
111,,,0,,,,,,0,,,0
112,,,,,,,,,1,1,,1
113,,,,,,1,,,1,1,,
114,,,,1,,0,,,,0,,
115,,0,,1,,0,,,,,,
116,,1,,0,,,,0,,,,
117,,0,,,,,,1,,,0,
118,,,,,0,,,1,,,0,
119,,,,,1,,0,,,,1,
120,1,,,,1,,0,,,,,
121,1,,1,,,,1,,,,,
122,1,,1,,,,,,,,,1
123,,,0,,,,,,0,,,1
124,,,,,,,,,1,1,,1
125,,,,,,1,,,0,1,,
126,,,,1,,1,,,,1,,
127,,0,,,,0,,,,,,
128,,0,,0,,,,1,,,,
129,,0,,,,,,0,,,1,
130,,,,,1,,,0,,,0,
131,,,,,1,,0,,,,1,
132,1,,,,1,,0,,,,,
133,1,,1,,,,1,,,,,
134,0,,0,,,,,,,,,0
135,,,0,,,,,,1,,,1
136,,,,,,,,,1,0,,0
137,,,,,,1,,,1,1,,
138,,,,0,,0,,,,0,,
139,,0,,0,,0,,,,,,
140,,0,,0,,,,1,,,,
141,,1,,,,,,1,,,0,
142,,,,,1,,,1,,,1,
143,,,,,1,,0,,,,1,
144,1,,,,1,,0,,,,,
145,1,,0,,,,0,,,,,
146,0,,1,,,,,,,,,1
147,,,0,,,,,,1,,,0
148,,,,,,,,,0,1,,1
149,,,,,,0,,,1,0,,
150,,,,0,,0,,,,1,,
151,,1,,1,,1,,,,,,
152,,1,,1,,,,1,,,,
153,,0,,,,,,0,,,0,
154,,,,,0,,,1,,,0,
155,,,,,1,,1,,,,1,
156,1,,,,1,,0,,,,,
157,0,,0,,,,0,,,,,
158,1,,1,,,,,,,,,1
159,,,0,,,,,,0,,,1
160,,,,,,,,,1,0,,1
161,,,,,,1,,,1,1,,
162,,,,0,,0,,,,0,,
163,,0,,0,,0,,,,,,
164,,1,,1,,,,1,,,,
165,,0,,,,,,1,,,1,
166,,,,,0,,,0,,,0,
167,,,,,1,,1,,,,1,
168,0,,,,1,,0,,,,,
169,1,,1,,,,0,,,,,
170,0,,0,,,,,,,,,0
171,,,1,,,,,,1,,,1
172,,,,,,,,,1,0,,1
173,,,,,,1,,,1,1,,
174,,,,0,,0,,,,0,,
175,,0,,0,,0,,,,,,
176,,1,,1,,,,1,,,,
177,,0,,,,,,1,,,0,
178,,,,,1,,,1,,,0,
179,,,,,1,,1,,,,1,
180,1,,,,1,,0,,,,,
181,1,,1,,,,0,,,,,
182,1,,1,,,,,,,,,1
183,,,0,,,,,,0,,,0
184,,,,,,,,,0,0,,1
185,,,,,,0,,,0,0,,
186,,,,1,,1,,,,1,,
187,,0,,0,,0,,,,,,
188,,0,,0,,,,1,,,,
189,,1,,,,,,1,,,0,
190,,,,,1,,,1,,,0,
191,,,,,1,,0,,,,1,
192,0,,,,1,,0,,,,,
193,1,,1,,,,1,,,,,
194,1,,1,,,,,,,,,1
195,,,0,,,,,,0,,,0
196,,,,,,,,,1,0,,1
197,,,,,,0,,,0,0,,
198,,,,0,,0,,,,0,,
199,,1,,0,,0,,,,,,
200,,1,,1,,,,1,,,,
201,,1,,,,,,1,,,0,
202,,,,,1,,,0,,,0,
203,,,,,1,,0,,,,0,
204,1,,,,1,,1,,,,,
205,1,,0,,,,0,,,,,
206,0,,1,,,,,,,,,1
207,,,1,,,,,,1,,,1
208,,,,,,,,,1,1,,1
